id_norma,tipo_norma,organismo_origen,fecha_sancion,texto_original
385527,Resolución,SECRETARIA DE TRABAJO,2023-05-03,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385527/norma.htm
385525,Resolución,SECRETARIA DE TRABAJO,2023-05-03,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385525/norma.htm
385612,Resolución,SECRETARIA DE TRABAJO,2023-05-03,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385612/norma.htm
385526,Resolución,SECRETARIA DE TRABAJO,2023-04-27,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385526/norma.htm
385170,Resolución,SECRETARIA DE TRABAJO,2023-04-27,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385170/norma.htm
385523,Resolución,SECRETARIA DE TRABAJO,2023-04-27,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385523/norma.htm
385524,Resolución,SECRETARIA DE TRABAJO,2023-04-27,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385524/norma.htm
385522,Resolución,SECRETARIA DE TRABAJO,2023-04-27,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385522/norma.htm
385182,Resolución,SECRETARIA DE TRABAJO,2023-04-27,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385182/norma.htm
385520,Resolución,SECRETARIA DE TRABAJO,2023-04-27,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385520/norma.htm
385172,Resolución,SECRETARIA DE TRABAJO,2023-04-27,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385172/norma.htm
385175,Resolución,SECRETARIA DE TRABAJO,2023-04-27,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385175/norma.htm
385133,Resolución,SECRETARIA DE TRABAJO,2023-04-27,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385133/norma.htm
385163,Resolución,SECRETARIA DE TRABAJO,2023-04-27,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385163/norma.htm
385132,Resolución,SECRETARIA DE TRABAJO,2023-04-27,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385132/norma.htm
385165,Resolución,SECRETARIA DE TRABAJO,2023-04-27,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385165/norma.htm
385162,Resolución,SECRETARIA DE TRABAJO,2023-04-27,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385162/norma.htm
385185,Resolución,SECRETARIA DE TRABAJO,2023-04-27,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385185/norma.htm
385542,Resolución,SECRETARIA DE TRABAJO,2023-04-27,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385542/norma.htm
385199,Resolución,SECRETARIA DE TRABAJO,2023-04-26,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385199/norma.htm
385178,Resolución,SECRETARIA DE TRABAJO,2023-04-26,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385178/norma.htm
385180,Resolución,SECRETARIA DE TRABAJO,2023-04-26,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385180/norma.htm
385164,Resolución,SECRETARIA DE TRABAJO,2023-04-25,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385164/norma.htm
385129,Resolución,SECRETARIA DE TRABAJO,2023-04-25,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385129/norma.htm
385127,Resolución,SECRETARIA DE TRABAJO,2023-04-25,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385127/norma.htm
385131,Resolución,SECRETARIA DE TRABAJO,2023-04-25,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385131/norma.htm
385130,Resolución,SECRETARIA DE TRABAJO,2023-04-25,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385130/norma.htm
385128,Resolución,SECRETARIA DE TRABAJO,2023-04-25,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385128/norma.htm
385123,Resolución,SECRETARIA DE TRABAJO,2023-04-25,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385123/norma.htm
385177,Resolución,SECRETARIA DE TRABAJO,2023-04-25,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385177/norma.htm
385125,Resolución,SECRETARIA DE TRABAJO,2023-04-25,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385125/norma.htm
385122,Resolución,SECRETARIA DE TRABAJO,2023-04-25,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385122/norma.htm
385124,Resolución,SECRETARIA DE TRABAJO,2023-04-25,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385124/norma.htm
385126,Resolución,SECRETARIA DE TRABAJO,2023-04-25,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385126/norma.htm
385169,Resolución,SECRETARIA DE TRABAJO,2023-04-25,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385169/norma.htm
385911,Resolución,SECRETARIA DE TRABAJO,2023-04-25,http://servicios.infoleg.gob.ar/infolegInternet/anexos/385000-389999/385911/norma.htm
